============================================================
  Solver:     3DMHKP-SA.py
  Instance:   /home/mcaspar/3DMHKP/Egeblad/ep3-20-C-C-90.txt
  Value mode: flat
  Timelimit:  300s
  Reports:    /home/mcaspar/3DMHKP/results_3DMHKP_ep3
  CPUs:       1
============================================================
======================================================================
3DMHKP Simulated Annealing (random single-neighbour, sequence decoder)
    [iter 201370] reheat + diversify: ceiling=95.71, value=77276.0
    [iter 207123] reheat + diversify: ceiling=86.14, value=59320.0
    [iter 212876] reheat + diversify: ceiling=77.52, value=58662.0
    [iter 218629] reheat + diversify: ceiling=69.77, value=80124.0
    [iter 224382] reheat + diversify: ceiling=62.79, value=58662.0
    [iter 230135] reheat + diversify: ceiling=56.51, value=59320.0
    [iter 235888] reheat + diversify: ceiling=50.86, value=74428.0
    [iter 241641] reheat + diversify: ceiling=45.78, value=77276.0
    [iter 247394] reheat + diversify: ceiling=41.20, value=80124.0
    [iter 253147] reheat + diversify: ceiling=37.08, value=68298.0
    [iter 258900] reheat + diversify: ceiling=33.37, value=59320.0
    [iter 264653] reheat + diversify: ceiling=30.03, value=74428.0
    [iter 270406] reheat + diversify: ceiling=27.03, value=58662.0
    [iter 276159] reheat + diversify: ceiling=24.33, value=77276.0
    [iter 281912] reheat + diversify: ceiling=21.89, value=77276.0
    [iter 287665] reheat + diversify: ceiling=19.70, value=74428.0
    [iter 293418] reheat + diversify: ceiling=17.73, value=77276.0
    [iter 299171] reheat + diversify: ceiling=15.96, value=59320.0
    [iter 304924] reheat + diversify: ceiling=14.36, value=77276.0
    [iter 310677] reheat + diversify: ceiling=12.93, value=62168.0
    [iter 316430] reheat + diversify: ceiling=11.64, value=59320.0
    [iter 322183] reheat + diversify: ceiling=10.47, value=61510.0
    [iter 327936] reheat + diversify: ceiling=9.42, value=68298.0
    [iter 333689] reheat + diversify: ceiling=8.48, value=59320.0
    [iter 339442] reheat + diversify: ceiling=7.63, value=80124.0
    [iter 345195] reheat + diversify: ceiling=6.87, value=71146.0
    [iter 350948] reheat + diversify: ceiling=6.18, value=55814.0
    [iter 356701] reheat + diversify: ceiling=5.57, value=77276.0
    [iter 362454] reheat + diversify: ceiling=5.01, value=58662.0
    [iter 368207] reheat + diversify: ceiling=4.51, value=68298.0
    [iter 373960] reheat + diversify: ceiling=4.06, value=55814.0
    [iter 379713] reheat + diversify: ceiling=3.65, value=58662.0
    [iter 385466] reheat + diversify: ceiling=3.29, value=77276.0
    [iter 391219] reheat + diversify: ceiling=2.96, value=68298.0
    [iter 396972] reheat + diversify: ceiling=2.66, value=55814.0
    [iter 402725] reheat + diversify: ceiling=2.40, value=77276.0
    [iter 408478] reheat + diversify: ceiling=2.16, value=55814.0
    [iter 414231] reheat + diversify: ceiling=1.94, value=80124.0
    [iter 419984] reheat + diversify: ceiling=1.75, value=74428.0
    [iter 425737] reheat + diversify: ceiling=1.57, value=74428.0
    [iter 431490] reheat + diversify: ceiling=1.41, value=55814.0
    [iter 437243] reheat + diversify: ceiling=1.27, value=58662.0
    [iter 442996] reheat + diversify: ceiling=1.15, value=55814.0
    [iter 448749] reheat + diversify: ceiling=1.03, value=55814.0
    [iter 454502] reheat + diversify: ceiling=0.93, value=80124.0
    [iter 460255] reheat + diversify: ceiling=0.84, value=80124.0
    [iter 466008] reheat + diversify: ceiling=0.75, value=58662.0
    [iter 471761] reheat + diversify: ceiling=0.68, value=55814.0
    [iter 477514] reheat + diversify: ceiling=0.61, value=55814.0
    [iter 483267] reheat + diversify: ceiling=0.55, value=55814.0
    [iter 489020] reheat + diversify: ceiling=0.49, value=77276.0
    [iter 494773] reheat + diversify: ceiling=0.44, value=77276.0
    [iter 500526] reheat + diversify: ceiling=0.40, value=77276.0
    [iter 506279] reheat + diversify: ceiling=0.36, value=55814.0
    [iter 512032] reheat + diversify: ceiling=0.32, value=61510.0
    [iter 517785] reheat + diversify: ceiling=0.29, value=61510.0
    [iter 523538] reheat + diversify: ceiling=0.26, value=58662.0
    [iter 529291] reheat + diversify: ceiling=0.24, value=68298.0
    [iter 535044] reheat + diversify: ceiling=0.21, value=55814.0
    [iter 540797] reheat + diversify: ceiling=0.19, value=55814.0
    [iter 546550] reheat + diversify: ceiling=0.17, value=62826.0
    [iter 552303] reheat + diversify: ceiling=0.15, value=55814.0
    [iter 558056] reheat + diversify: ceiling=0.14, value=77276.0
    [iter 563809] reheat + diversify: ceiling=0.13, value=58662.0
    [iter 569562] reheat + diversify: ceiling=0.11, value=62826.0
    [iter 575315] reheat + diversify: ceiling=0.10, value=55814.0
    [iter 581068] reheat + diversify: ceiling=0.09, value=77276.0
    [iter 586821] reheat + diversify: ceiling=0.08, value=80124.0
    [iter 592574] reheat + diversify: ceiling=0.07, value=77276.0
    [iter 598327] reheat + diversify: ceiling=0.07, value=61510.0
    [iter 604080] reheat + diversify: ceiling=0.06, value=52966.0
    [iter 609833] reheat + diversify: ceiling=0.05, value=58662.0
    [iter 615586] reheat + diversify: ceiling=0.05, value=77276.0
    [iter 621339] reheat + diversify: ceiling=0.04, value=58662.0
    [iter 627092] reheat + diversify: ceiling=0.04, value=80124.0
    [iter 632845] reheat + diversify: ceiling=0.04, value=58662.0
    [iter 638598] reheat + diversify: ceiling=0.03, value=55814.0
    [iter 644351] reheat + diversify: ceiling=0.03, value=71146.0
    [iter 650104] reheat + diversify: ceiling=0.03, value=77276.0
    [iter 655857] reheat + diversify: ceiling=0.02, value=74428.0
    [iter 661610] reheat + diversify: ceiling=0.02, value=77276.0
    [iter 667363] reheat + diversify: ceiling=0.02, value=58662.0
    [iter 673116] reheat + diversify: ceiling=0.02, value=55814.0
    [iter 678869] reheat + diversify: ceiling=0.02, value=71146.0
    [iter 684622] reheat + diversify: ceiling=0.01, value=58662.0
    [iter 690375] reheat + diversify: ceiling=0.01, value=77276.0
    [iter 696128] reheat + diversify: ceiling=0.01, value=58662.0
    [iter 701881] reheat + diversify: ceiling=0.01, value=77276.0
    [iter 707634] reheat + diversify: ceiling=0.01, value=80124.0
    [iter 713387] reheat + diversify: ceiling=0.01, value=55814.0
    [iter 719140] reheat + diversify: ceiling=0.01, value=58662.0
    [iter 724893] reheat + diversify: ceiling=0.01, value=58662.0
    [iter 730646] reheat + diversify: ceiling=0.01, value=74428.0
    [iter 736399] reheat + diversify: ceiling=0.01, value=77276.0
    [iter 742152] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 747905] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 753658] reheat + diversify: ceiling=0.00, value=52966.0
    [iter 759411] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 765164] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 770917] reheat + diversify: ceiling=0.00, value=59320.0
    [iter 776670] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 782423] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 788176] reheat + diversify: ceiling=0.00, value=65450.0
    [iter 793929] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 799682] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 805435] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 811188] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 816941] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 822694] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 828447] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 834200] reheat + diversify: ceiling=0.00, value=68298.0
    [iter 839953] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 845706] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 851459] reheat + diversify: ceiling=0.00, value=68298.0
    [iter 857212] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 862965] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 868718] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 874471] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 880224] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 885977] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 891730] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 897483] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 903236] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 908989] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 914742] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 920495] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 926248] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 932001] reheat + diversify: ceiling=0.00, value=59978.0
    [iter 937754] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 943507] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 949260] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 955013] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 960766] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 966519] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 972272] reheat + diversify: ceiling=0.00, value=65450.0
    [iter 978025] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 983778] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 989531] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 995284] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1001037] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1006790] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1012543] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1018296] reheat + diversify: ceiling=0.00, value=62168.0
    [iter 1024049] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1029802] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1035555] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1041308] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1047061] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1052814] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1058567] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1064320] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1070073] reheat + diversify: ceiling=0.00, value=59320.0
    [iter 1075826] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1081579] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1087332] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1093085] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1098838] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1104591] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1110344] reheat + diversify: ceiling=0.00, value=65450.0
    [iter 1116097] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1121850] reheat + diversify: ceiling=0.00, value=65450.0
    [iter 1127603] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1133356] reheat + diversify: ceiling=0.00, value=68298.0
    [iter 1139109] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1144862] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1150615] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1156368] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1162121] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1167874] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1173627] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 1179380] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1185133] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1190886] reheat + diversify: ceiling=0.00, value=59320.0
    [iter 1196639] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1202392] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1208145] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1213898] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1219651] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1225404] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 1231157] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1236910] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1242663] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 1248416] reheat + diversify: ceiling=0.00, value=56472.0
    [iter 1254169] reheat + diversify: ceiling=0.00, value=59320.0
    [iter 1259922] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1265675] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1271428] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 1277181] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1282934] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1288687] reheat + diversify: ceiling=0.00, value=65450.0
    [iter 1294440] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1300193] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1305946] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1311699] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1317452] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1323205] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1328958] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1334711] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1340464] reheat + diversify: ceiling=0.00, value=71146.0
    [iter 1346217] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1351970] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1357723] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1363476] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1369229] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1374982] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1380735] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1386488] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1392241] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1397994] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 1403747] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1409500] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1415253] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1421006] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1426759] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1432512] reheat + diversify: ceiling=0.00, value=59320.0
    [iter 1438265] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1444018] reheat + diversify: ceiling=0.00, value=56472.0
    [iter 1449771] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1455524] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1461277] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1467030] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1472783] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 1478536] reheat + diversify: ceiling=0.00, value=68298.0
    [iter 1484289] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1490042] reheat + diversify: ceiling=0.00, value=68298.0
    [iter 1495795] reheat + diversify: ceiling=0.00, value=52966.0
    [iter 1501548] reheat + diversify: ceiling=0.00, value=65450.0
    [iter 1507301] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1513054] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1518807] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1524560] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1530313] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1536066] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1541819] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 1547572] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1553325] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1559078] reheat + diversify: ceiling=0.00, value=52966.0
    [iter 1564831] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1570584] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1576337] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1582090] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1587843] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 1593596] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1599349] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1605102] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1610855] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1616608] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1622361] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1628114] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1633867] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1639620] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1645373] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1651126] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1656879] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1662632] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1668385] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1674138] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1679891] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1685644] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1691397] reheat + diversify: ceiling=0.00, value=52966.0
    [iter 1697150] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1702903] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1708656] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 1714409] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1720162] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1725915] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 1731668] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1737421] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1743174] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1748927] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1754680] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1760433] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1766186] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1771939] reheat + diversify: ceiling=0.00, value=52966.0
    [iter 1777692] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1783445] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1789198] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1794951] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1800704] reheat + diversify: ceiling=0.00, value=62168.0
    [iter 1806457] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1812210] reheat + diversify: ceiling=0.00, value=52966.0
    [iter 1817963] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1823716] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1829469] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1835222] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1840975] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1846728] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1852481] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1858234] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1863987] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1869740] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1875493] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1881246] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1886999] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1892752] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1898505] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 1904258] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1910011] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1915764] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1921517] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1927270] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1933023] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1938776] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1944529] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1950282] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 1956035] reheat + diversify: ceiling=0.00, value=65450.0
    [iter 1961788] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 1967541] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1973294] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 1979047] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 1984800] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 1990553] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 1996306] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 2002059] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2007812] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2013565] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2019318] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2025071] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2030824] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 2036577] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2042330] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 2048083] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2053836] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2059589] reheat + diversify: ceiling=0.00, value=62168.0
    [iter 2065342] reheat + diversify: ceiling=0.00, value=68298.0
    [iter 2071095] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2076848] reheat + diversify: ceiling=0.00, value=68298.0
    [iter 2082601] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2088354] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2094107] reheat + diversify: ceiling=0.00, value=68298.0
    [iter 2099860] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 2105613] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2111366] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2117119] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2122872] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 2128625] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2134378] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2140131] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2145884] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2151637] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2157390] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2163143] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2168896] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2174649] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 2180402] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2186155] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2191908] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2197661] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2203414] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2209167] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2214920] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2220673] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2226426] reheat + diversify: ceiling=0.00, value=61510.0
    [iter 2232179] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2237932] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2243685] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2249438] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2255191] reheat + diversify: ceiling=0.00, value=71146.0
    [iter 2260944] reheat + diversify: ceiling=0.00, value=74428.0
    [iter 2266697] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2272450] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2278203] reheat + diversify: ceiling=0.00, value=55814.0
    [iter 2283956] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2289709] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2295462] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2301215] reheat + diversify: ceiling=0.00, value=52966.0
    [iter 2306968] reheat + diversify: ceiling=0.00, value=58662.0
    [iter 2312721] reheat + diversify: ceiling=0.00, value=52966.0
    [iter 2318474] reheat + diversify: ceiling=0.00, value=80124.0
    [iter 2324227] reheat + diversify: ceiling=0.00, value=77276.0
    [iter 2329980] reheat + diversify: ceiling=0.00, value=77276.0
